% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1022 +2.496095127e+01 +2.496095127e+01 +2.524809513e+02 +2.524809513e+02 +9.8422e-01 +6.9083e-01 +3.7433e-01 +5.4326e-02 +4.3432e-02
% function evaluation | noise-free fitness - Fopt (6.370000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.820970643e+01 +6.820970643e+01 +7.457970643e+01 +7.457970643e+01 +8.3235e-01 +6.5714e-02 +3.9537e-01 +8.6258e-01 +9.5118e-01
7 +5.960378406e+01 +5.960378406e+01 +6.597378406e+01 +6.597378406e+01 +4.6406e-01 +4.9439e-01 +1.7774e-01 +8.7913e-01 +3.2944e-01
392 +3.541189304e+01 +3.541189304e+01 +4.178189304e+01 +4.178189304e+01 +2.6685e-01 +5.1350e-01 +5.9916e-01 +5.9589e-01 +2.1319e-01
1208 +2.442458486e+01 +2.442458486e+01 +3.079458486e+01 +3.079458486e+01 +2.2181e-01 +0.0000e+00 +4.2536e-01 +7.4694e-01 +7.1449e-01
% function evaluation | noise-free fitness - Fopt (-1.082600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.840029602e+01 +7.840029602e+01 -2.985970398e+01 -2.985970398e+01 +5.9563e-02 +9.5505e-01 +7.2878e-01 +3.0808e-01 +4.1784e-01
6 +6.270537904e+01 +6.270537904e+01 -4.555462096e+01 -4.555462096e+01 +1.9273e-01 +9.1982e-01 +5.5218e-01 +8.0807e-01 +9.3649e-01
431 +3.799309669e+01 +3.799309669e+01 -7.026690331e+01 -7.026690331e+01 +5.4515e-02 +8.2426e-01 +0.0000e+00 +7.0110e-01 +6.7619e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.692099258e+01 +8.692099258e+01 -9.130790074e+02 -9.130790074e+02 +2.3927e-01 +1.3566e-01 +4.9881e-01 +8.7803e-01 +1.7165e-01
5 +3.762414250e+01 +3.762414250e+01 -9.623758575e+02 -9.623758575e+02 +2.9298e-01 +9.7312e-01 +8.8639e-01 +4.8747e-01 +8.1348e-01
1628 +2.044093238e+01 +2.044093238e+01 -9.795590676e+02 -9.795590676e+02 +7.7335e-01 +9.6716e-01 +5.7399e-01 +1.4758e-02 +6.9636e-02
% function evaluation | noise-free fitness - Fopt (-8.434000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.367612333e+01 +6.367612333e+01 -2.066387667e+01 -2.066387667e+01 +7.4993e-01 +7.5658e-01 +9.7175e-01 +1.7838e-02 +3.8401e-01
