% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3803 +1.151363449e-10 +1.151363449e-10 +3.995000000e+01 +3.995000000e+01 +6.9838e-01 +1.1058e-01
3819 +9.201528428e-12 +9.201528428e-12 +3.995000000e+01 +3.995000000e+01 +6.9840e-01 +1.1058e-01
4181 +5.819345006e-12 +5.819345006e-12 +3.995000000e+01 +3.995000000e+01 +6.9840e-01 +1.1058e-01
4562 +3.609557098e-12 +3.609557098e-12 +3.995000000e+01 +3.995000000e+01 +6.9840e-01 +1.1058e-01
4600 +2.415845302e-12 +2.415845302e-12 +3.995000000e+01 +3.995000000e+01 +6.9840e-01 +1.1058e-01
4861 +1.350031198e-12 +1.350031198e-12 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
4862 +8.526512829e-13 +8.526512829e-13 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
4903 +4.618527782e-13 +4.618527782e-13 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
4961 +3.979039320e-13 +3.979039320e-13 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5001 +2.131628207e-13 +2.131628207e-13 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5043 +1.065814104e-13 +1.065814104e-13 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5144 +7.105427358e-14 +7.105427358e-14 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5499 +1.421085472e-14 +1.421085472e-14 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5557 +7.105427358e-15 +7.105427358e-15 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
5640 +0.000000000e+00 +0.000000000e+00 +3.995000000e+01 +3.995000000e+01 +6.9841e-01 +1.1058e-01
% function evaluation | noise-free fitness - Fopt (7.762000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.475310288e+02 +9.475310288e+02 +1.025151029e+03 +1.025151029e+03 +9.6130e-01 +9.5135e-01
