% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4 +2.012275856e+09 +2.012275856e+09 +2.012275741e+09 +2.012275741e+09 +1.1320e-01 +6.7760e-02 +1.5461e-01 +7.6940e-01 +2.3366e-02 +1.4500e-01 +7.2971e-01 +4.6526e-01 +5.1161e-01 +5.5949e-01 +7.7999e-01 +6.8335e-01 +1.5639e-01 +1.6427e-01 +4.0031e-01 +3.1732e-01 +1.3328e-01 +4.4813e-01 +9.0440e-01 +8.9468e-02
47 +1.489125051e+09 +1.489125051e+09 +1.489124936e+09 +1.489124936e+09 +1.1205e-01 +1.0832e-01 +1.0000e+00 +5.3089e-01 +0.0000e+00 +5.0000e-01 +9.5664e-01 +2.8922e-01 +9.2365e-01 +0.0000e+00 +5.3178e-01 +7.1083e-01 +4.3531e-01 +2.8553e-01 +0.0000e+00 +3.6051e-01 +8.5180e-01 +1.2031e-01 +1.2394e-01 +0.0000e+00
96 +9.448200653e+08 +9.448200653e+08 +9.448199501e+08 +9.448199501e+08 +0.0000e+00 +8.9945e-01 +0.0000e+00 +8.1974e-04 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +9.1548e-01 +5.4549e-02 +0.0000e+00 +1.3516e-01 +1.8950e-01 +1.4737e-01 +3.5320e-01 +4.2926e-01 +2.3089e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00
265 +6.281576677e+08 +6.281576677e+08 +6.281575525e+08 +6.281575525e+08 +0.0000e+00 +2.1562e-03 +6.5205e-01 +6.8435e-02 +0.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.7511e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +8.5882e-02 +0.0000e+00 +9.9977e-01 +1.0000e+00 +1.0000e+00 +2.3652e-02 +0.0000e+00 +2.8911e-06
% function evaluation | noise-free fitness - Fopt (2.616400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.197373549e+08 +4.197373549e+08 +4.197376165e+08 +4.197376165e+08 +6.1714e-01 +7.5277e-01 +3.0347e-01 +5.9174e-01 +4.0014e-01 +5.8337e-01 +3.2308e-01 +7.9530e-01 +1.1489e-01 +1.9235e-01 +8.0973e-01 +3.0893e-01 +9.7162e-02 +8.5755e-01 +6.0735e-02 +9.1744e-01 +7.9595e-01 +5.8309e-01 +5.5290e-01 +1.5052e-02
3 +2.087881643e+08 +2.087881643e+08 +2.087884259e+08 +2.087884259e+08 +5.8902e-01 +4.5131e-01 +8.8185e-01 +8.1197e-01 +5.1354e-01 +6.6441e-01 +4.5657e-01 +7.9509e-01 +5.9078e-01 +2.3835e-01 +5.3763e-02 +2.3405e-01 +3.8015e-01 +5.4543e-01 +9.8155e-01 +2.8380e-01 +9.6093e-01 +8.0534e-01 +7.9147e-01 +7.0777e-01
29 +1.567023950e+08 +1.567023950e+08 +1.567026566e+08 +1.567026566e+08 +7.5837e-01 +1.0687e-01 +3.3077e-01 +1.0000e+00 +3.6946e-01 +8.1377e-01 +8.6438e-01 +6.2242e-01 +8.0955e-01 +4.3515e-01 +0.0000e+00 +9.1988e-02 +5.1587e-01 +2.4914e-01 +3.4811e-01 +5.3325e-01 +5.4122e-01 +8.0912e-01 +3.5704e-01 +4.1479e-01
71 +9.734433639e+07 +9.734433639e+07 +9.734459803e+07 +9.734459803e+07 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +7.4411e-01 +9.9900e-01 +8.8789e-01 +2.5840e-01 +1.0000e+00 +9.7184e-01 +1.0389e-01 +1.4798e-01 +2.3338e-01 +0.0000e+00 +7.0392e-01 +6.0395e-02 +9.1526e-01 +8.8965e-01 +6.9882e-01 +2.7985e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.238794770e+08 +2.238794770e+08 +2.238804770e+08 +2.238804770e+08 +7.7269e-01 +4.5225e-01 +5.1568e-01 +2.7400e-01 +7.5620e-01 +3.8427e-01 +1.2139e-01 +2.4684e-01 +4.2596e-01 +2.0110e-01 +4.4192e-01 +8.7437e-01 +4.7188e-01 +5.7372e-01 +7.0768e-01 +8.7185e-01 +4.7270e-01 +8.3758e-01 +9.7538e-01 +5.5894e-01
44 +1.562423585e+08 +1.562423585e+08 +1.562433585e+08 +1.562433585e+08 +3.0903e-01 +6.1324e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00 +3.4629e-02 +0.0000e+00 +4.7194e-02 +1.0000e+00 +4.3561e-01 +4.7499e-01 +3.9760e-01 +6.0855e-01 +1.0000e+00 +9.5482e-01 +1.0000e+00 +5.7806e-01 +2.9834e-01 +0.0000e+00 +4.3949e-01
% function evaluation | noise-free fitness - Fopt (1.737000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.158561546e+08 +2.158561546e+08 +2.158561719e+08 +2.158561719e+08 +1.4454e-01 +2.3434e-01 +7.6417e-01 +4.7206e-01 +8.7374e-01 +3.2528e-01 +2.7529e-01 +3.1768e-01 +4.6720e-01 +7.0072e-02 +4.4312e-01 +7.1587e-02 +8.9501e-01 +7.2367e-02 +9.0539e-02 +2.9485e-01 +6.9268e-01 +6.9965e-01 +6.0088e-01 +2.4038e-01
62 +1.485756729e+08 +1.485756729e+08 +1.485756902e+08 +1.485756902e+08 +1.8485e-03 +1.1066e-01 +8.2530e-01 +1.0000e+00 +1.4350e-01 +3.9456e-01 +0.0000e+00 +2.1264e-01 +1.3211e-01 +8.3402e-01 +7.9407e-01 +4.7309e-02 +1.0000e+00 +1.0000e+00 +8.5172e-01 +9.6285e-01 +0.0000e+00 +1.0000e+00 +2.8307e-01 +4.2247e-01
% function evaluation | noise-free fitness - Fopt (1.541700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.496354311e+09 +1.496354311e+09 +1.496354465e+09 +1.496354465e+09 +5.3292e-01 +5.7691e-01 +4.6768e-01 +5.8844e-01 +2.1778e-01 +6.6286e-02 +4.9099e-01 +2.7397e-01 +2.9081e-01 +8.2742e-01 +2.5445e-01 +4.9089e-01 +2.0825e-01 +8.7299e-01 +3.6527e-01 +2.2521e-01 +2.6565e-01 +3.7471e-02 +6.7898e-01 +1.5171e-01
7 +9.193529127e+08 +9.193529127e+08 +9.193530669e+08 +9.193530669e+08 +6.7407e-01 +7.8199e-01 +2.7688e-01 +6.5659e-01 +4.9918e-01 +1.4401e-01 +1.9781e-01 +5.6750e-01 +9.6403e-01 +4.8478e-01 +3.2254e-01 +4.5577e-01 +9.0069e-01 +6.8433e-01 +7.7578e-01 +1.8061e-01 +4.4320e-01 +2.3369e-01 +1.9471e-01 +3.2255e-01
45 +5.649404080e+08 +5.649404080e+08 +5.649405621e+08 +5.649405621e+08 +0.0000e+00 +8.4702e-01 +0.0000e+00 +1.0000e+00 +5.5502e-01 +0.0000e+00 +2.5550e-01 +3.5206e-02 +9.8828e-01 +2.4270e-01 +0.0000e+00 +3.7014e-01 +8.9129e-01 +0.0000e+00 +5.9739e-01 +0.0000e+00 +1.0000e+00 +7.6323e-01 +3.0583e-01 +0.0000e+00
220 +3.967765106e+08 +3.967765106e+08 +3.967766648e+08 +3.967766648e+08 +2.2429e-02 +9.9642e-01 +0.0000e+00 +9.9998e-01 +1.0000e+00 +1.5094e-03 +0.0000e+00 +0.0000e+00 +3.1266e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +1.0000e+00 +4.1051e-02 +1.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (4.983000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.447999863e+08 +1.447999863e+08 +1.448000361e+08 +1.448000361e+08 +7.2547e-01 +8.0456e-01 +4.3868e-01 +1.9688e-01 +2.4346e-01 +6.1979e-01 +3.9987e-02 +3.0602e-01 +7.9362e-01 +9.7849e-02 +7.9854e-02 +1.0608e-01 +7.5466e-01 +9.8621e-01 +1.0629e-01 +1.0798e-01 +9.4298e-01 +3.3180e-02 +4.9472e-02 +5.2652e-01
184 +9.999152827e+07 +9.999152827e+07 +9.999157810e+07 +9.999157810e+07 +0.0000e+00 +1.0797e-02 +3.7348e-03 +0.0000e+00 +0.0000e+00 +1.6158e-01 +0.0000e+00 +6.3000e-02 +1.3276e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00 +5.6437e-03 +1.3315e-01 +0.0000e+00 +2.6445e-02 +3.8938e-01 +2.1123e-02 +0.0000e+00 +7.4966e-01
